program	os	interpreter	time
7	mac	python	0.329459905624
8	mac	python	0.00915503501892
8	mac	python	0.00916790962219
8	mac	python	0.00914597511292
8	mac	python	0.00917601585388
8	mac	python	0.00914883613586
8	mac	python	0.0091450214386
8	mac	python	0.00914597511292
8	mac	python	0.00916600227356
8	mac	python	0.00917911529541
8	mac	python	0.00914692878723
9	mac	python	0.0345261096954
9	mac	python	0.0345020294189
9	mac	python	0.0407819747925
9	mac	python	0.0342409610748
9	mac	python	0.0339031219482
9	mac	python	0.0339090824127
9	mac	python	0.033942937851
9	mac	python	0.0340981483459
9	mac	python	0.0338690280914
9	mac	python	0.033919095993
10	mac	python	0.537303924561
10	mac	python	0.536015987396
10	mac	python	0.53503704071
10	mac	python	0.530556917191
10	mac	python	0.542269945145
10	mac	python	0.557819128036
10	mac	python	0.534144878387
10	mac	python	0.541460990906
10	mac	python	0.539280891418
10	mac	python	0.545101165771
11	mac	python	0.00210022926331
11	mac	python	0.00221109390259
11	mac	python	0.00210189819336
11	mac	python	0.00209712982178
11	mac	python	0.00233793258667
11	mac	python	0.00309991836548
11	mac	python	0.00262093544006
11	mac	python	0.00249600410461
11	mac	python	0.00238418579102
11	mac	python	0.00225496292114
12	mac	python	6.48340916634
12	mac	python	6.63056993484
12	mac	python	6.40247893333
12	mac	python	6.64972305298
12	mac	python	6.75696706772
12	mac	python	6.65761590004
12	mac	python	6.63866281509
12	mac	python	6.64065098763
12	mac	python	6.62844991684
12	mac	python	6.44645690918
13	mac	python	1.28746032715e-05
13	mac	python	1.19209289551e-05
13	mac	python	1.21593475342e-05
13	mac	python	1.19209289551e-05
13	mac	python	1.19209289551e-05
13	mac	python	1.19209289551e-05
13	mac	python	1.21593475342e-05
13	mac	python	1.19209289551e-05
13	mac	python	1.19209289551e-05
13	mac	python	1.19209289551e-05
15	mac	python	1.00135803223e-05
15	mac	python	9.05990600586e-06
15	mac	python	1.00135803223e-05
15	mac	python	9.05990600586e-06
15	mac	python	9.05990600586e-06
15	mac	python	9.05990600586e-06
15	mac	python	9.05990600586e-06
15	mac	python	9.05990600586e-06
15	mac	python	9.05990600586e-06
15	mac	python	9.05990600586e-06
16	mac	python	0.000233888626099
16	mac	python	0.000234127044678
16	mac	python	0.000232934951782
16	mac	python	0.000232934951782
16	mac	python	0.000232934951782
16	mac	python	0.000233888626099
16	mac	python	0.000232934951782
16	mac	python	0.000234127044678
16	mac	python	0.000234127044678
16	mac	python	0.000233888626099
17	mac	python	0.00133991241455
17	mac	python	0.00134086608887
17	mac	python	0.00134181976318
17	mac	python	0.00134110450745
17	mac	python	0.00134110450745
17	mac	python	0.00133991241455
17	mac	python	0.00134086608887
17	mac	python	0.00133991241455
17	mac	python	0.00133991241455
17	mac	python	0.00133991241455
18	mac	python	8.20159912109e-05
18	mac	python	8.20159912109e-05
18	mac	python	8.10623168945e-05
18	mac	python	8.51154327393e-05
